order_id,date,channel,units,unit_price
O0000,2026-01-01,Online,4,10.0
O0001,2026-01-02,Store,6,20.0
O0002,2026-01-03,Store,6,10.0
O0003,2026-01-04,Online,-2,20.0
O0004,2026-01-05,Online,7,20.0
O0005,2026-01-06,Store,5,10.0
O0006,2026-01-07,Online,1,25.0
O0007,2026-01-08,Store,80,15.0
O0008,2026-01-09,Online,5,25.0
O0009,2026-01-10,Online,6,10.0
O0010,2026-01-11,Store,5,10.0
O0011,2026-01-12,Store,5,
O0012,2026-01-13,Store,1,10.0
O0013,2026-01-14,Store,5,15.0
O0014,2026-01-15,,7,20.0
O0015,2026-01-16,Store,3,10.0
O0016,2026-01-17,Store,5,20.0
O0017,2026-01-18,Online,1,10.0
O0018,2026-01-19,Store,3,10.0
O0019,2026-01-20,Online,4,20.0
O0020,2026-01-21,Store,8,25.0
O0021,2026-01-22,Online,2,10.0
O0022,2026-01-23,Online,3,15.0
O0023,2026-01-24,Store,4,25.0
O0024,2026-01-25,Store,8,25.0
O0025,2026-01-26,Store,7,20.0
O0026,2026-01-27,Online,1,15.0
O0027,2026-01-28,Store,2,15.0
O0028,2026-01-29,Store,7,20.0
O0029,2026-01-30,Online,1,20.0
O0030,2026-01-31,Online,7,15.0
O0031,2026-02-01,Online,3,
O0032,2026-02-02,Online,8,10.0
O0033,2026-02-03,Store,3,25.0
O0034,2026-02-04,,4,15.0
O0035,2026-02-05,Online,6,15.0
O0036,2026-02-06,Store,2,15.0
O0037,2026-02-07,Store,5,25.0
O0038,2026-02-08,Online,5,10.0
O0039,2026-02-09,Store,7,10.0
O0040,2026-02-10,Online,8,15.0
O0041,2026-02-11,Store,6,15.0
O0042,2026-02-12,Store,4,20.0
O0043,2026-02-13,Online,4,15.0
O0044,2026-02-14,Online,4,15.0
O0045,2026-02-15,Store,7,25.0
O0046,2026-02-16,Online,3,10.0
O0047,2026-02-17,Store,2,20.0
O0048,2026-02-18,Store,3,20.0
O0049,2026-02-19,Store,1,15.0
O0050,2026-02-20,Store,1,25.0
O0051,2026-02-21,Online,1,
O0052,2026-02-22,Online,7,25.0
O0053,2026-02-23,Online,6,15.0
O0054,2026-02-24,Online,6,20.0
O0055,2026-02-25,Online,4,20.0
O0056,2026-02-26,Store,6,25.0
O0057,2026-02-27,Online,2,15.0
O0058,2026-02-28,Store,8,15.0
O0059,2026-03-01,Store,5,10.0
O0060,2026-03-02,Store,8,15.0
O0061,2026-03-03,Store,2,25.0
O0062,2026-03-04,Online,4,10.0
O0063,2026-03-05,Store,6,25.0
O0064,2026-03-06,Online,4,20.0
O0065,2026-03-07,Online,4,10.0
O0066,2026-03-08,Store,2,15.0
O0067,2026-03-09,Online,4,20.0
O0068,2026-03-10,Online,2,15.0
O0069,2026-03-11,Online,3,10.0
O0070,2026-03-12,Store,6,20.0
O0071,2026-03-13,Online,6,20.0
O0072,2026-03-14,Online,5,10.0
O0073,2026-03-15,Online,3,15.0
O0074,2026-03-16,Store,8,10.0
O0075,2026-03-17,Online,1,20.0
O0076,2026-03-18,Online,3,20.0
O0077,2026-03-19,Online,1,20.0
O0078,2026-03-20,Store,3,25.0
O0079,2026-03-21,Store,8,25.0
O0080,2026-03-22,Store,3,15.0
O0081,2026-03-23,Online,8,10.0
O0082,2026-03-24,Online,4,20.0
O0083,2026-03-25,Store,6,25.0
O0084,2026-03-26,Store,4,25.0
O0085,2026-03-27,Store,3,10.0
O0086,2026-03-28,Online,7,10.0
O0087,2026-03-29,Online,8,10.0
O0088,2026-03-30,Store,3,10.0
O0089,2026-03-31,Store,7,20.0
O0090,2026-04-01,Online,3,20.0
O0091,2026-04-02,Store,6,15.0
O0092,2026-04-03,Store,7,15.0
O0093,2026-04-04,Online,4,25.0
O0094,2026-04-05,Store,6,15.0
O0095,2026-04-06,Online,3,25.0
O0096,2026-04-07,Online,1,25.0
O0097,2026-04-08,Store,1,15.0
O0098,2026-04-09,Store,4,10.0
O0099,2026-04-10,Online,8,25.0
O0100,2026-04-11,Store,2,20.0
O0101,2026-04-12,Online,4,15.0
O0102,2026-04-13,Store,6,20.0
O0103,2026-04-14,Online,2,20.0
O0104,2026-04-15,Store,6,25.0
O0105,2026-04-16,Store,3,15.0
O0106,2026-04-17,Store,7,25.0
O0107,2026-04-18,Store,5,25.0
O0108,2026-04-19,Online,5,10.0
O0109,2026-04-20,Store,2,10.0
O0110,2026-04-21,Online,4,20.0
O0111,2026-04-22,Store,7,10.0
O0112,2026-04-23,Store,1,15.0
O0113,2026-04-24,Online,7,15.0
O0114,2026-04-25,Store,4,25.0
O0115,2026-04-26,Store,6,25.0
O0116,2026-04-27,Online,6,10.0
O0117,2026-04-28,Online,4,25.0
O0118,2026-04-29,Online,3,10.0
O0119,2026-04-30,Online,6,20.0
O0000,2026-01-01,Online,4,10.0
O0001,2026-01-02,Store,6,20.0
